implementation,vertices,edges,time(ns),comparisons
a,136,171,36000,149
b,136,171,11600,148
a,137,247,38000,172
b,137,247,16700,172
a,138,138,36600,138
b,138,138,8300,138
a,139,195,37900,158
b,139,195,13200,158
a,140,365,44600,207
b,140,365,19600,207
a,141,239,39700,173
b,141,239,15500,175
a,142,195,39300,158
b,142,195,14100,159
a,143,387,44400,216
b,143,387,21200,215
a,144,233,41500,165
b,144,233,13900,165
a,145,293,43400,184
b,145,293,16800,184
a,146,211,41900,165
b,146,211,13500,165
a,147,420,46500,228
b,147,420,22200,228
a,148,195,41800,165
b,148,195,12900,164
a,149,411,47400,216
b,149,411,21200,216
a,150,240,44100,180
b,150,240,16300,179
a,151,441,52500,236
b,151,441,25800,236
a,152,391,48000,216
b,152,391,21200,214
a,153,364,56800,228
b,153,364,22200,228
a,154,277,46700,189
b,154,277,17500,190
a,155,177,44000,158
b,155,177,12400,158
a,156,415,50000,224
b,156,415,21100,223
a,157,334,49400,221
b,157,334,22300,220
a,158,212,46800,177
b,158,212,22900,177
a,159,362,49100,211
b,159,362,20100,211
a,160,328,49500,209
b,160,328,18600,209
a,161,180,46800,166
b,161,180,12400,166
a,162,421,51800,242
b,162,421,24300,242
a,163,473,54900,255
b,163,473,24600,252
a,164,403,54000,228
b,164,403,22500,228
a,165,330,52800,215
b,165,330,19600,215
a,166,421,55100,243
b,166,421,22900,244
a,167,420,55500,247
b,167,420,23400,247
a,168,362,54600,229
b,168,362,21700,230
a,169,498,59300,251
b,169,498,31900,252
a,170,178,60700,171
b,170,178,12300,171
a,171,435,58100,255
b,171,435,27400,256
a,172,513,59200,271
b,172,513,29000,270
a,173,345,56900,232
b,173,345,22100,230
a,174,489,59600,272
b,174,489,27900,271
a,175,240,55000,194
b,175,240,16500,194
a,176,516,60200,272
b,176,516,27200,273
a,177,411,70900,241
b,177,411,25300,242
a,178,279,56800,209
b,178,279,17800,209
a,179,342,58500,218
b,179,342,19700,217
a,180,298,58600,219
b,180,298,26000,219
a,181,531,63600,284
b,181,531,28700,285
a,182,477,63100,269
b,182,477,26700,268
a,183,539,65000,292
b,183,539,29400,289
a,184,321,61200,226
b,184,321,20100,226
a,185,301,61400,214
b,185,301,32700,213
a,186,345,64200,239
b,186,345,41100,239
a,187,311,62800,219
b,187,311,20900,217
a,188,430,67500,261
b,188,430,27600,257
a,189,380,64100,244
b,189,380,23100,244
a,190,439,65900,257
b,190,439,43200,257
a,191,354,66900,238
b,191,354,45000,238
a,192,279,77100,212
b,192,279,29400,212
a,193,388,67300,239
b,193,388,27800,237
a,194,404,64800,247
b,194,404,23600,246
a,195,502,70600,269
b,195,502,29100,268
a,196,308,68300,225
b,196,308,22000,225
a,197,444,71300,274
b,197,444,26500,273
a,198,333,69800,238
b,198,333,22200,239
a,199,361,70100,249
b,199,361,24900,249
a,200,415,71200,271
b,200,415,30800,271
a,201,209,67300,202
b,201,209,15900,202
a,202,580,76300,326
b,202,580,39600,324
a,203,267,70000,223
b,203,267,21000,223
a,204,350,72400,249
b,204,350,22900,250
a,205,397,77800,260
b,205,397,27000,259
a,206,286,71800,232
b,206,286,18900,232
a,207,564,80000,301
b,207,564,31100,302
a,208,248,108100,220
b,208,248,21800,220
a,209,466,77400,283
b,209,466,32000,283
a,210,254,72600,217
b,210,254,18500,217
a,211,530,79800,305
b,211,530,30800,307
a,212,385,77700,270
b,212,385,25800,272
a,213,407,77800,279
b,213,407,26100,280
a,214,611,83300,329
b,214,611,39600,332
a,215,348,78200,258
b,215,348,25900,257
a,216,282,75000,238
b,216,282,23100,238
a,217,411,78700,270
b,217,411,25100,271
a,218,436,81300,270
b,218,436,25500,269
a,219,635,95800,328
b,219,635,35000,328
a,220,238,76800,222
b,220,238,17000,222
a,221,239,78300,226
b,221,239,16300,226
a,222,417,83400,275
b,222,417,26200,274
a,223,352,82700,262
b,223,352,23400,264
a,224,363,83000,265
b,224,363,23300,266
a,225,431,85800,300
b,225,431,28300,300
a,226,420,85300,280
b,226,420,29600,279
a,227,470,90300,305
b,227,470,45500,305
a,228,501,88900,304
b,228,501,31200,304
a,229,273,83800,243
b,229,273,21300,243
a,230,560,92800,333
b,230,560,34100,332
a,231,522,91700,314
b,231,522,31200,313
a,232,495,91700,314
b,232,495,30600,316
a,233,347,88400,271
b,233,347,24500,271
a,234,553,95100,328
b,234,553,33700,329
a,235,413,92500,291
b,235,413,27800,291
